Iter Residual
0 1.000e+00
1 9.775e-01
2 9.442e-01
3 8.986e-01
4 8.524e-01
5 8.146e-01
6 7.802e-01
7 7.503e-01
8 7.165e-01
9 6.908e-01
10 6.582e-01
11 6.289e-01
12 5.990e-01
13 5.704e-01
14 5.454e-01
15 5.191e-01
16 4.946e-01
17 4.680e-01
18 4.423e-01
19 4.196e-01
20 3.950e-01
21 3.755e-01
22 3.636e-01
23 3.472e-01
24 3.257e-01
25 3.158e-01
26 2.961e-01
27 2.788e-01
28 2.638e-01
29 2.572e-01
30 2.428e-01
31 2.281e-01
32 2.212e-01
33 2.060e-01
34 1.941e-01
35 1.805e-01
36 1.707e-01
37 1.601e-01
38 1.535e-01
39 1.484e-01
40 1.409e-01
41 1.301e-01
42 1.259e-01
43 1.176e-01
44 1.122e-01
45 1.089e-01
46 1.017e-01
47 9.645e-02
48 8.930e-02
49 8.339e-02
50 7.908e-02
51 7.418e-02
52 7.202e-02
53 6.902e-02
54 6.508e-02
55 6.263e-02
56 6.031e-02
57 5.633e-02
58 5.448e-02
59 5.239e-02
60 4.993e-02
61 4.839e-02
62 4.655e-02
63 4.487e-02
64 4.375e-02
65 4.213e-02
66 4.095e-02
67 3.809e-02
68 3.671e-02
69 3.484e-02
70 3.310e-02
71 3.191e-02
72 3.078e-02
73 2.976e-02
74 2.902e-02
75 2.774e-02
76 2.711e-02
77 2.530e-02
78 2.480e-02
79 2.415e-02
80 2.273e-02
81 2.203e-02
82 2.155e-02
83 2.096e-02
84 2.033e-02
85 1.953e-02
86 1.882e-02
87 1.857e-02
88 1.759e-02
89 1.720e-02
90 1.598e-02
91 1.553e-02
92 1.494e-02
93 1.446e-02
94 1.332e-02
95 1.274e-02
96 1.219e-02
97 1.155e-02
98 1.116e-02
99 1.043e-02
100 1.025e-02
