Iter Residual
0 1.000e+00
1 9.775e-01
2 9.535e-01
3 9.109e-01
4 8.748e-01
5 8.323e-01
6 7.926e-01
7 7.579e-01
8 7.266e-01
9 6.914e-01
10 6.593e-01
11 6.292e-01
12 6.020e-01
13 5.710e-01
14 5.433e-01
15 5.167e-01
16 4.935e-01
17 4.702e-01
18 4.443e-01
19 4.197e-01
20 3.952e-01
21 3.714e-01
22 3.511e-01
23 3.314e-01
24 3.119e-01
25 2.949e-01
26 2.800e-01
27 2.690e-01
28 2.540e-01
29 2.359e-01
30 2.246e-01
31 2.090e-01
32 1.930e-01
33 1.806e-01
34 1.731e-01
35 1.646e-01
36 1.545e-01
37 1.463e-01
38 1.349e-01
39 1.279e-01
40 1.212e-01
41 1.162e-01
42 1.094e-01
43 1.045e-01
44 9.961e-02
45 9.265e-02
46 8.775e-02
47 8.203e-02
48 7.723e-02
49 7.232e-02
50 6.876e-02
51 6.551e-02
52 6.269e-02
53 6.057e-02
54 5.829e-02
55 5.571e-02
56 5.342e-02
57 5.176e-02
58 5.011e-02
59 4.852e-02
60 4.740e-02
61 4.611e-02
62 4.356e-02
63 4.078e-02
64 3.871e-02
65 3.723e-02
66 3.561e-02
67 3.512e-02
68 3.353e-02
69 3.256e-02
70 3.138e-02
71 3.046e-02
72 2.963e-02
73 2.935e-02
74 2.879e-02
75 2.805e-02
76 2.720e-02
77 2.703e-02
78 2.654e-02
79 2.582e-02
80 2.520e-02
81 2.479e-02
82 2.399e-02
83 2.343e-02
84 2.304e-02
85 2.205e-02
86 2.143e-02
87 2.072e-02
88 2.037e-02
89 1.777e-02
90 1.596e-02
91 1.585e-02
92 1.557e-02
93 1.514e-02
94 1.492e-02
95 1.421e-02
96 1.337e-02
97 1.293e-02
98 1.231e-02
99 1.201e-02
100 1.179e-02
