Iter Residual Time
0 1.000e+00 0
1 9.770e-01 0.0
2 9.407e-01 253.60000000000002
3 9.192e-01 507.70000000000005
4 8.937e-01 762.1
5 8.719e-01 1020.2
6 8.459e-01 1275.2
7 8.248e-01 1531.6
8 7.987e-01 1786.4
9 7.726e-01 2041.6999999999998
10 7.437e-01 2297.1
11 7.064e-01 2553.3
12 6.775e-01 2808.7
13 6.468e-01 3063.2
14 6.243e-01 3317.5
15 5.931e-01 3574.7
16 5.613e-01 3829.3
17 5.330e-01 4082.0
18 5.041e-01 4337.6
19 4.746e-01 4593.1
20 4.526e-01 4847.6
21 4.328e-01 5102.0
22 4.083e-01 5358.3
23 3.915e-01 5611.7
24 3.704e-01 5864.8
25 3.510e-01 6121.2
26 3.321e-01 6377.1
27 3.240e-01 6632.5
28 3.073e-01 6888.6
29 2.926e-01 7145.8
30 2.783e-01 7402.0
31 2.629e-01 7658.4
32 2.495e-01 7912.6
33 2.376e-01 8169.6
34 2.257e-01 8426.1
35 2.128e-01 8686.8
36 2.018e-01 8946.5
37 1.909e-01 9204.0
38 1.803e-01 9460.3
39 1.709e-01 9715.8
40 1.633e-01 9972.0
41 1.571e-01 10228.7
42 1.513e-01 10481.7
43 1.451e-01 10735.3
44 1.376e-01 10988.0
45 1.305e-01 11245.0
46 1.217e-01 11500.7
47 1.193e-01 11755.8
48 1.134e-01 12011.2
49 1.084e-01 12264.3
50 1.031e-01 12522.5
51 9.829e-02 12781.0
52 9.338e-02 13039.3
53 8.844e-02 13296.2
54 8.548e-02 13552.5
55 8.100e-02 13815.1
56 7.726e-02 14068.2
57 7.156e-02 14322.5
58 6.893e-02 14575.9
59 6.622e-02 14831.4
60 6.497e-02 15087.4
61 6.190e-02 15344.1
62 5.890e-02 15596.3
63 5.528e-02 15851.8
64 5.303e-02 16107.5
65 5.075e-02 16366.099999999999
66 4.832e-02 16624.1
67 4.662e-02 16880.8
68 4.533e-02 17135.6
69 4.227e-02 17394.6
70 4.137e-02 17656.1
71 3.937e-02 17912.0
72 3.777e-02 18169.1
73 3.677e-02 18426.8
74 3.621e-02 18683.2
75 3.450e-02 18938.6
76 3.384e-02 19196.6
77 3.251e-02 19455.0
78 3.082e-02 19715.3
79 2.887e-02 19970.8
80 2.807e-02 20228.4
81 2.686e-02 20486.7
82 2.567e-02 20744.1
83 2.523e-02 21003.2
84 2.420e-02 21261.8
85 2.342e-02 21520.3
86 2.250e-02 21775.4
87 2.134e-02 22032.8
88 2.030e-02 22291.0
89 1.968e-02 22551.8
90 1.869e-02 22810.8
91 1.802e-02 23068.4
92 1.711e-02 23325.9
93 1.663e-02 23580.8
94 1.616e-02 23835.9
95 1.554e-02 24090.7
96 1.490e-02 24350.6
97 1.454e-02 24609.5
98 1.414e-02 24867.2
99 1.368e-02 25124.7
100 1.334e-02 25382.5
