Iter Residual
0 1.000e+00
1 9.775e-01
2 9.437e-01
3 8.987e-01
4 8.520e-01
5 8.144e-01
6 7.751e-01
7 7.463e-01
8 7.131e-01
9 6.815e-01
10 6.530e-01
11 6.228e-01
12 5.932e-01
13 5.618e-01
14 5.314e-01
15 5.016e-01
16 4.767e-01
17 4.544e-01
18 4.304e-01
19 4.059e-01
20 3.877e-01
21 3.643e-01
22 3.418e-01
23 3.234e-01
24 3.147e-01
25 2.980e-01
26 2.807e-01
27 2.701e-01
28 2.563e-01
29 2.405e-01
30 2.259e-01
31 2.099e-01
32 2.025e-01
33 1.906e-01
34 1.835e-01
35 1.701e-01
36 1.648e-01
37 1.572e-01
38 1.476e-01
39 1.412e-01
40 1.322e-01
41 1.278e-01
42 1.190e-01
43 1.112e-01
44 1.080e-01
45 1.033e-01
46 1.005e-01
47 9.536e-02
48 9.105e-02
49 8.711e-02
50 8.477e-02
51 8.113e-02
52 7.805e-02
53 7.463e-02
54 7.227e-02
55 7.120e-02
56 6.793e-02
57 6.557e-02
58 6.368e-02
59 6.150e-02
60 5.824e-02
61 5.674e-02
62 5.539e-02
63 5.328e-02
64 4.927e-02
65 4.877e-02
66 4.788e-02
67 4.543e-02
68 4.396e-02
69 4.231e-02
70 4.105e-02
71 3.950e-02
72 3.890e-02
73 3.749e-02
74 3.651e-02
75 3.503e-02
76 3.438e-02
77 3.293e-02
78 3.216e-02
79 3.046e-02
80 2.941e-02
81 2.825e-02
82 2.735e-02
83 2.570e-02
84 2.422e-02
85 2.321e-02
86 2.310e-02
87 2.258e-02
88 2.218e-02
89 2.153e-02
90 1.951e-02
91 1.931e-02
92 1.868e-02
93 1.781e-02
94 1.740e-02
95 1.663e-02
96 1.630e-02
97 1.590e-02
98 1.535e-02
99 1.533e-02
100 1.404e-02
