Iter Residual
0 1.000e+00
1 9.795e-01
2 9.364e-01
3 9.112e-01
4 8.770e-01
5 8.550e-01
6 8.274e-01
7 7.880e-01
8 7.496e-01
9 7.149e-01
10 6.816e-01
11 6.497e-01
12 6.174e-01
13 5.868e-01
14 5.599e-01
15 5.305e-01
16 5.047e-01
17 4.770e-01
18 4.500e-01
19 4.276e-01
20 4.026e-01
21 3.787e-01
22 3.578e-01
23 3.399e-01
24 3.181e-01
25 2.985e-01
26 2.801e-01
27 2.625e-01
28 2.459e-01
29 2.333e-01
30 2.204e-01
31 2.077e-01
32 1.987e-01
33 1.888e-01
34 1.807e-01
35 1.708e-01
36 1.644e-01
37 1.553e-01
38 1.444e-01
39 1.371e-01
40 1.295e-01
41 1.251e-01
42 1.167e-01
43 1.130e-01
44 1.034e-01
45 9.913e-02
46 9.440e-02
47 8.804e-02
48 8.454e-02
49 8.025e-02
50 7.380e-02
51 7.096e-02
52 6.736e-02
53 6.493e-02
54 6.317e-02
55 5.860e-02
56 5.606e-02
57 5.365e-02
58 5.159e-02
59 4.945e-02
60 4.775e-02
61 4.383e-02
62 4.343e-02
63 4.061e-02
64 3.986e-02
65 3.771e-02
66 3.479e-02
67 3.358e-02
68 3.318e-02
69 3.205e-02
70 2.951e-02
71 2.828e-02
72 2.809e-02
73 2.725e-02
74 2.543e-02
75 2.473e-02
76 2.438e-02
77 2.351e-02
78 2.250e-02
79 2.159e-02
80 2.154e-02
81 2.064e-02
82 2.009e-02
83 1.974e-02
84 1.949e-02
85 1.858e-02
86 1.811e-02
87 1.778e-02
88 1.705e-02
89 1.682e-02
90 1.620e-02
91 1.576e-02
92 1.544e-02
93 1.508e-02
94 1.470e-02
95 1.412e-02
96 1.379e-02
97 1.362e-02
98 1.316e-02
99 1.281e-02
100 1.242e-02
