Iter Residual Time
0 1.000e+00 0
1 9.795e-01 0.0
2 9.364e-01 259.29999999999995
3 9.112e-01 519.4
4 8.770e-01 774.5
5 8.550e-01 1032.4
6 8.274e-01 1289.7
7 7.880e-01 1550.0
8 7.496e-01 1805.6999999999998
9 7.149e-01 2061.8
10 6.816e-01 2319.8
11 6.497e-01 2577.5
12 6.174e-01 2833.9
13 5.868e-01 3088.7
14 5.599e-01 3344.1
15 5.305e-01 3602.3
16 5.047e-01 3860.3
17 4.770e-01 4115.8
18 4.500e-01 4370.9
19 4.276e-01 4627.0
20 4.026e-01 4882.7
21 3.787e-01 5140.4
22 3.578e-01 5399.6
23 3.399e-01 5658.1
24 3.181e-01 5918.0
25 2.985e-01 6179.0
26 2.801e-01 6435.3
27 2.625e-01 6691.9
28 2.459e-01 6949.2
29 2.333e-01 7207.9
30 2.204e-01 7466.4
31 2.077e-01 7724.2
32 1.987e-01 7979.5
33 1.888e-01 8233.6
34 1.807e-01 8487.0
35 1.708e-01 8744.3
36 1.644e-01 9001.4
37 1.553e-01 9257.8
38 1.444e-01 9513.7
39 1.371e-01 9767.0
40 1.295e-01 10020.8
41 1.251e-01 10276.9
42 1.167e-01 10536.4
43 1.130e-01 10794.7
44 1.034e-01 11051.3
45 9.913e-02 11312.2
46 9.440e-02 11571.0
47 8.804e-02 11831.7
48 8.454e-02 12089.4
49 8.025e-02 12346.5
50 7.380e-02 12604.3
51 7.096e-02 12860.1
52 6.736e-02 13116.5
53 6.493e-02 13371.1
54 6.317e-02 13625.1
55 5.860e-02 13883.3
56 5.606e-02 14141.4
57 5.365e-02 14400.6
58 5.159e-02 14657.6
59 4.945e-02 14920.6
60 4.775e-02 15180.1
61 4.383e-02 15446.7
62 4.343e-02 15701.8
63 4.061e-02 15956.3
64 3.986e-02 16213.0
65 3.771e-02 16470.1
66 3.479e-02 16724.1
67 3.358e-02 16978.8
68 3.318e-02 17233.7
69 3.205e-02 17494.8
70 2.951e-02 17753.0
71 2.828e-02 18009.7
72 2.809e-02 18267.6
73 2.725e-02 18521.8
74 2.543e-02 18777.1
75 2.473e-02 19029.5
76 2.438e-02 19287.0
77 2.351e-02 19542.2
78 2.250e-02 19795.1
79 2.159e-02 20050.0
80 2.154e-02 20310.9
81 2.064e-02 20570.0
82 2.009e-02 20828.7
83 1.974e-02 21090.2
84 1.949e-02 21349.8
85 1.858e-02 21609.0
86 1.811e-02 21874.9
87 1.778e-02 22132.6
88 1.705e-02 22390.1
89 1.682e-02 22648.9
90 1.620e-02 22910.7
91 1.576e-02 23168.7
92 1.544e-02 23423.3
93 1.508e-02 23682.6
94 1.470e-02 23941.9
95 1.412e-02 24201.5
96 1.379e-02 24461.0
97 1.362e-02 24720.1
98 1.316e-02 24980.8
99 1.281e-02 25241.1
100 1.242e-02 25498.0
