Iter Residual
0 1.000e+00
1 9.775e-01
2 9.433e-01
3 8.980e-01
4 8.525e-01
5 8.134e-01
6 7.785e-01
7 7.481e-01
8 7.143e-01
9 6.834e-01
10 6.492e-01
11 6.206e-01
12 5.897e-01
13 5.616e-01
14 5.348e-01
15 5.080e-01
16 4.807e-01
17 4.531e-01
18 4.278e-01
19 4.048e-01
20 3.847e-01
21 3.619e-01
22 3.406e-01
23 3.210e-01
24 3.028e-01
25 2.859e-01
26 2.689e-01
27 2.552e-01
28 2.462e-01
29 2.319e-01
30 2.177e-01
31 2.028e-01
32 1.881e-01
33 1.796e-01
34 1.722e-01
35 1.637e-01
36 1.559e-01
37 1.452e-01
38 1.417e-01
39 1.322e-01
40 1.229e-01
41 1.188e-01
42 1.123e-01
43 1.098e-01
44 1.045e-01
45 1.006e-01
46 9.785e-02
47 9.059e-02
48 8.432e-02
49 8.108e-02
50 7.950e-02
51 7.709e-02
52 7.527e-02
53 7.316e-02
54 7.175e-02
55 6.897e-02
56 6.643e-02
57 6.159e-02
58 6.014e-02
59 5.758e-02
60 5.617e-02
61 5.287e-02
62 5.234e-02
63 4.934e-02
64 4.629e-02
65 4.300e-02
66 4.052e-02
67 3.789e-02
68 3.655e-02
69 3.554e-02
70 3.403e-02
71 3.214e-02
72 3.035e-02
73 2.959e-02
74 2.877e-02
75 2.713e-02
76 2.682e-02
77 2.595e-02
78 2.484e-02
79 2.448e-02
80 2.364e-02
81 2.277e-02
82 2.215e-02
83 2.140e-02
84 2.055e-02
85 2.000e-02
86 1.930e-02
87 1.904e-02
88 1.854e-02
89 1.812e-02
90 1.718e-02
91 1.656e-02
92 1.640e-02
93 1.592e-02
94 1.547e-02
95 1.531e-02
96 1.493e-02
97 1.455e-02
98 1.386e-02
99 1.326e-02
100 1.310e-02
