Iter Residual Time
0 1.000e+00 0
1 9.800e-01 0.0
2 9.422e-01 253.79999999999995
3 9.062e-01 515.7
4 8.841e-01 772.5999999999999
5 8.595e-01 1030.0
6 8.187e-01 1285.3000000000002
7 7.808e-01 1544.5
8 7.457e-01 1811.0
9 7.126e-01 2067.6
10 6.766e-01 2323.1
11 6.442e-01 2582.5
12 6.133e-01 2840.2
13 5.843e-01 3097.5
14 5.583e-01 3354.1000000000004
15 5.289e-01 3614.0
16 5.036e-01 3873.7
17 4.764e-01 4132.3
18 4.507e-01 4389.9
19 4.281e-01 4648.2
20 4.044e-01 4908.8
21 3.802e-01 5168.5
22 3.601e-01 5426.6
23 3.384e-01 5684.4
24 3.187e-01 5941.5
25 3.068e-01 6203.3
26 2.886e-01 6461.5
27 2.808e-01 6716.0
28 2.628e-01 6971.2
29 2.498e-01 7225.6
30 2.358e-01 7480.5
31 2.235e-01 7735.4
32 2.090e-01 7992.5
33 1.958e-01 8252.7
34 1.877e-01 8513.0
35 1.787e-01 8775.5
36 1.671e-01 9032.7
37 1.587e-01 9290.9
38 1.512e-01 9548.2
39 1.458e-01 9804.4
40 1.359e-01 10061.0
41 1.272e-01 10315.2
42 1.193e-01 10569.6
43 1.149e-01 10824.5
44 1.100e-01 11083.3
45 1.039e-01 11340.4
46 9.974e-02 11597.1
47 9.644e-02 11853.4
48 9.099e-02 12106.6
49 8.642e-02 12361.4
50 8.245e-02 12617.5
51 7.855e-02 12875.7
52 7.597e-02 13138.6
53 7.335e-02 13397.0
54 6.872e-02 13654.6
55 6.520e-02 13909.4
56 6.139e-02 14165.4
57 5.905e-02 14420.6
58 5.805e-02 14679.9
59 5.546e-02 14937.8
60 5.285e-02 15192.6
61 5.211e-02 15447.0
62 4.949e-02 15704.599999999999
63 4.779e-02 15962.099999999999
64 4.659e-02 16218.900000000001
65 4.530e-02 16472.0
66 4.204e-02 16730.2
67 4.154e-02 16990.2
68 4.011e-02 17246.4
69 3.916e-02 17503.2
70 3.737e-02 17767.4
71 3.606e-02 18023.4
72 3.462e-02 18279.1
73 3.384e-02 18534.1
74 3.228e-02 18789.5
75 3.125e-02 19052.4
76 2.969e-02 19312.2
77 2.887e-02 19568.3
78 2.806e-02 19826.6
79 2.750e-02 20083.6
80 2.606e-02 20341.1
81 2.475e-02 20598.7
82 2.420e-02 20851.9
83 2.360e-02 21113.0
84 2.247e-02 21374.6
85 2.173e-02 21632.1
86 2.131e-02 21889.4
87 2.085e-02 22143.1
88 1.918e-02 22402.1
89 1.885e-02 22662.7
90 1.861e-02 22918.8
91 1.726e-02 23175.8
92 1.669e-02 23431.9
93 1.616e-02 23689.1
94 1.561e-02 23946.3
95 1.539e-02 24204.4
96 1.376e-02 24465.8
97 1.354e-02 24728.4
98 1.325e-02 24986.7
99 1.285e-02 25245.8
100 1.258e-02 25503.7
