Iter Energy
0 1.0
1 0.8492576539429258
2 0.7215287035990239
3 0.6276597757753261
4 0.5502263512912949
5 0.48968405701502143
6 0.4408378771375346
7 0.41031780233695514
8 0.3686457897771862
9 0.3341075846524222
10 0.3064185159592299
11 0.2814767474026513
12 0.25939552423326717
13 0.23963814410780582
14 0.2191294467935146
15 0.1974762761794475
16 0.18135670699788767
17 0.16761827845577912
18 0.15255911276923187
19 0.13875278230900284
20 0.12769683765772172
21 0.11799667458807406
22 0.10912418663671
23 0.10043115711100864
24 0.09418337985782711
25 0.0884486102867818
26 0.08232942672094487
27 0.07685886122885933
28 0.07256765757625942
29 0.06850133165435987
30 0.06483108700720322
31 0.06138624970304823
32 0.05855141444602483
33 0.05620165026139133
34 0.053875680424454314
35 0.051763133585823434
36 0.050048995944662875
37 0.04835680866939678
38 0.04688976063737286
39 0.045423874151399486
40 0.04415623195761078
41 0.04288553175780203
42 0.04174478199260559
43 0.04082715578204186
44 0.0400456878000302
45 0.03928711962155433
46 0.03862250009819346
47 0.03800685390338143
48 0.037493035115175134
49 0.0369744019491419
50 0.0365147937666863
51 0.03608701919195532
52 0.03574355287926758
53 0.03545046450951156
54 0.035160662502655086
55 0.03492254292740451
56 0.03463748327812835
57 0.034383958835616
58 0.03413839614353712
59 0.033931621184885526
60 0.03373505202215638
61 0.03355904990960932
62 0.033411160724668425
63 0.03327119508429847
64 0.03313495385680366
65 0.03301728946145648
66 0.03290212689138342
67 0.032807685512386116
68 0.03271307769635547
69 0.03261766667891596
70 0.03251920534054369
71 0.0324365599118163
72 0.032351113158984375
73 0.032267760702226214
74 0.03219166648105351
75 0.032126914131278786
76 0.03206894046764257
77 0.03201753645577054
78 0.03197199023700563
79 0.031929706447582716
80 0.03189122721551669
81 0.031855356082503304
82 0.0318213093892128
83 0.03179018917716271
84 0.03176140523164908
85 0.03173581059736122
86 0.03171239150149848
87 0.03169127156417928
88 0.03167104441442937
89 0.03165298731375652
90 0.03163563504537522
91 0.03161923814313114
92 0.031604917531899174
93 0.03159220200604141
94 0.03157992409101139
95 0.031569209981458124
96 0.03155933837704587
97 0.03155048208245173
98 0.03154255370725449
99 0.03153564327676243
100 0.03152946051424985
