Iter Residual
0 1.000e+00
1 9.770e-01
2 9.407e-01
3 9.192e-01
4 8.937e-01
5 8.719e-01
6 8.459e-01
7 8.248e-01
8 7.987e-01
9 7.726e-01
10 7.437e-01
11 7.064e-01
12 6.775e-01
13 6.468e-01
14 6.243e-01
15 5.931e-01
16 5.613e-01
17 5.330e-01
18 5.041e-01
19 4.746e-01
20 4.526e-01
21 4.328e-01
22 4.083e-01
23 3.915e-01
24 3.704e-01
25 3.510e-01
26 3.321e-01
27 3.240e-01
28 3.073e-01
29 2.926e-01
30 2.783e-01
31 2.629e-01
32 2.495e-01
33 2.376e-01
34 2.257e-01
35 2.128e-01
36 2.018e-01
37 1.909e-01
38 1.803e-01
39 1.709e-01
40 1.633e-01
41 1.571e-01
42 1.513e-01
43 1.451e-01
44 1.376e-01
45 1.305e-01
46 1.217e-01
47 1.193e-01
48 1.134e-01
49 1.084e-01
50 1.031e-01
51 9.829e-02
52 9.338e-02
53 8.844e-02
54 8.548e-02
55 8.100e-02
56 7.726e-02
57 7.156e-02
58 6.893e-02
59 6.622e-02
60 6.497e-02
61 6.190e-02
62 5.890e-02
63 5.528e-02
64 5.303e-02
65 5.075e-02
66 4.832e-02
67 4.662e-02
68 4.533e-02
69 4.227e-02
70 4.137e-02
71 3.937e-02
72 3.777e-02
73 3.677e-02
74 3.621e-02
75 3.450e-02
76 3.384e-02
77 3.251e-02
78 3.082e-02
79 2.887e-02
80 2.807e-02
81 2.686e-02
82 2.567e-02
83 2.523e-02
84 2.420e-02
85 2.342e-02
86 2.250e-02
87 2.134e-02
88 2.030e-02
89 1.968e-02
90 1.869e-02
91 1.802e-02
92 1.711e-02
93 1.663e-02
94 1.616e-02
95 1.554e-02
96 1.490e-02
97 1.454e-02
98 1.414e-02
99 1.368e-02
100 1.334e-02
