Iter Residual Time
0 1.000e+00 0
1 9.775e-01 0.0
2 9.442e-01 254.60000000000036
3 8.986e-01 508.3000000000002
4 8.524e-01 765.5
5 8.146e-01 1025.1000000000004
6 7.802e-01 1283.7000000000007
7 7.503e-01 1540.9000000000005
8 7.165e-01 1800.6000000000004
9 6.908e-01 2065.4000000000005
10 6.582e-01 2319.8
11 6.289e-01 2582.9000000000005
12 5.990e-01 2856.7000000000007
13 5.704e-01 3130.9000000000005
14 5.454e-01 3404.9000000000005
15 5.191e-01 3669.6000000000004
16 4.946e-01 3931.2000000000007
17 4.680e-01 4185.700000000001
18 4.423e-01 4452.9
19 4.196e-01 4725.5
20 3.950e-01 5017.200000000001
21 3.755e-01 5290.4
22 3.636e-01 5565.1
23 3.472e-01 5827.9
24 3.257e-01 6087.4
25 3.158e-01 6348.300000000001
26 2.961e-01 6610.200000000001
27 2.788e-01 6870.800000000001
28 2.638e-01 7128.6
29 2.572e-01 7389.5
30 2.428e-01 7684.800000000001
31 2.281e-01 7961.1
32 2.212e-01 8245.5
33 2.060e-01 8529.2
34 1.941e-01 8816.0
35 1.805e-01 9094.4
36 1.707e-01 9370.0
37 1.601e-01 9650.800000000001
38 1.535e-01 9925.2
39 1.484e-01 10195.5
40 1.409e-01 10469.300000000001
41 1.301e-01 10749.4
42 1.259e-01 11029.4
43 1.176e-01 11312.5
44 1.122e-01 11591.9
45 1.089e-01 11868.0
46 1.017e-01 12158.4
47 9.645e-02 12458.6
48 8.930e-02 12741.500000000002
49 8.339e-02 13019.699999999999
50 7.908e-02 13295.1
51 7.418e-02 13570.4
52 7.202e-02 13853.699999999999
53 6.902e-02 14129.000000000002
54 6.508e-02 14399.800000000001
55 6.263e-02 14671.6
56 6.031e-02 14941.800000000001
57 5.633e-02 15217.000000000002
58 5.448e-02 15497.199999999999
59 5.239e-02 15771.000000000002
60 4.993e-02 16074.1
61 4.839e-02 16367.300000000001
62 4.655e-02 16656.800000000003
63 4.487e-02 16940.300000000003
64 4.375e-02 17213.6
65 4.213e-02 17499.300000000003
66 4.095e-02 17775.1
67 3.809e-02 18065.4
68 3.671e-02 18343.6
69 3.484e-02 18625.1
70 3.310e-02 18902.9
71 3.191e-02 19187.4
72 3.078e-02 19473.199999999997
73 2.976e-02 19751.5
74 2.902e-02 20045.1
75 2.774e-02 20350.199999999997
76 2.711e-02 20626.4
77 2.530e-02 20915.9
78 2.480e-02 21201.699999999997
79 2.415e-02 21486.5
80 2.273e-02 21763.6
81 2.203e-02 22043.300000000003
82 2.155e-02 22319.300000000003
83 2.096e-02 22595.1
84 2.033e-02 22872.5
85 1.953e-02 23147.6
86 1.882e-02 23424.800000000003
87 1.857e-02 23705.4
88 1.759e-02 23979.199999999997
89 1.720e-02 24246.4
90 1.598e-02 24511.199999999997
91 1.553e-02 24772.4
92 1.494e-02 25043.699999999997
93 1.446e-02 25309.699999999997
94 1.332e-02 25580.5
95 1.274e-02 25850.9
96 1.219e-02 26121.0
97 1.155e-02 26393.300000000003
98 1.116e-02 26660.199999999997
99 1.043e-02 26920.5
100 1.025e-02 27185.5
