Iter Residual
0 1.000e+00
1 9.760e-01
2 9.391e-01
3 8.931e-01
4 8.491e-01
5 8.089e-01
6 7.712e-01
7 7.412e-01
8 7.079e-01
9 6.769e-01
10 6.491e-01
11 6.157e-01
12 5.874e-01
13 5.597e-01
14 5.348e-01
15 5.113e-01
16 4.850e-01
17 4.582e-01
18 4.401e-01
19 4.151e-01
20 3.932e-01
21 3.723e-01
22 3.616e-01
23 3.452e-01
24 3.284e-01
25 3.113e-01
26 2.966e-01
27 2.827e-01
28 2.740e-01
29 2.594e-01
30 2.452e-01
31 2.356e-01
32 2.221e-01
33 2.069e-01
34 1.964e-01
35 1.889e-01
36 1.775e-01
37 1.668e-01
38 1.583e-01
39 1.524e-01
40 1.494e-01
41 1.449e-01
42 1.366e-01
43 1.271e-01
44 1.214e-01
45 1.148e-01
46 1.092e-01
47 1.073e-01
48 1.043e-01
49 9.682e-02
50 9.143e-02
51 8.591e-02
52 8.244e-02
53 7.880e-02
54 7.477e-02
55 7.178e-02
56 6.835e-02
57 6.549e-02
58 6.263e-02
59 6.108e-02
60 5.893e-02
61 5.756e-02
62 5.634e-02
63 5.528e-02
64 5.277e-02
65 5.191e-02
66 5.008e-02
67 4.845e-02
68 4.505e-02
69 4.197e-02
70 4.012e-02
71 3.899e-02
72 3.742e-02
73 3.571e-02
74 3.507e-02
75 3.441e-02
76 3.333e-02
77 3.212e-02
78 3.136e-02
79 3.022e-02
80 2.766e-02
81 2.643e-02
82 2.590e-02
83 2.483e-02
84 2.420e-02
85 2.354e-02
86 2.257e-02
87 2.090e-02
88 2.041e-02
89 2.000e-02
90 1.951e-02
91 1.875e-02
92 1.828e-02
93 1.783e-02
94 1.741e-02
95 1.683e-02
96 1.642e-02
97 1.611e-02
98 1.560e-02
99 1.526e-02
100 1.499e-02
