Iter Residual Time
0 1.000e+00 0
1 9.775e-01 0.0
2 9.440e-01 274.5
3 8.986e-01 547.8
4 8.530e-01 818.8
5 8.155e-01 1092.2
6 7.802e-01 1366.9
7 7.517e-01 1635.9
8 7.195e-01 1907.5
9 6.911e-01 2178.8
10 6.629e-01 2452.3
11 6.350e-01 2733.3
12 6.029e-01 3001.6
13 5.752e-01 3273.1
14 5.454e-01 3547.5
15 5.166e-01 3820.7
16 4.889e-01 4089.0
17 4.628e-01 4361.1
18 4.375e-01 4633.1
19 4.133e-01 4904.0
20 3.911e-01 5174.5
21 3.692e-01 5450.4
22 3.525e-01 5717.5
23 3.338e-01 5988.9
24 3.149e-01 6258.7
25 2.985e-01 6533.6
26 2.873e-01 6804.5
27 2.764e-01 7072.2
28 2.685e-01 7349.1
29 2.486e-01 7622.4
30 2.328e-01 7896.0
31 2.185e-01 8168.299999999999
32 2.051e-01 8439.2
33 1.915e-01 8710.7
34 1.856e-01 8981.8
35 1.766e-01 9252.1
36 1.670e-01 9523.5
37 1.576e-01 9800.2
38 1.486e-01 10072.9
39 1.378e-01 10359.4
40 1.275e-01 10635.0
41 1.188e-01 10907.0
42 1.109e-01 11182.5
43 1.084e-01 11452.6
44 1.022e-01 11728.0
45 9.709e-02 11999.0
46 9.248e-02 12271.2
47 9.056e-02 12545.8
48 8.740e-02 12818.1
49 8.381e-02 13090.4
50 8.028e-02 13363.2
51 7.753e-02 13635.7
52 7.433e-02 13906.2
53 7.163e-02 14181.9
54 7.029e-02 14455.4
55 6.754e-02 14729.6
56 6.423e-02 15002.9
57 6.138e-02 15280.0
58 5.951e-02 15554.7
59 5.767e-02 15825.6
60 5.636e-02 16099.4
61 5.255e-02 16374.400000000001
62 5.224e-02 16651.0
63 5.141e-02 16921.3
64 4.921e-02 17197.7
65 4.782e-02 17471.6
66 4.473e-02 17746.0
67 4.311e-02 18017.6
68 4.027e-02 18285.8
69 3.857e-02 18556.5
70 3.796e-02 18829.9
71 3.582e-02 19101.1
72 3.467e-02 19373.7
73 3.352e-02 19644.9
74 3.249e-02 19921.7
75 3.173e-02 20194.6
76 3.075e-02 20466.5
77 3.036e-02 20737.5
78 2.861e-02 21016.3
79 2.769e-02 21288.4
80 2.679e-02 21558.5
81 2.564e-02 21830.6
82 2.542e-02 22102.0
83 2.425e-02 22376.3
84 2.344e-02 22648.7
85 2.240e-02 22920.9
86 2.208e-02 23196.3
87 2.072e-02 23470.3
88 2.040e-02 23742.4
89 1.939e-02 24017.4
90 1.894e-02 24289.9
91 1.835e-02 24557.9
92 1.790e-02 24831.7
93 1.631e-02 25109.9
94 1.605e-02 25384.5
95 1.494e-02 25657.9
96 1.455e-02 25930.1
97 1.425e-02 26203.6
98 1.336e-02 26476.5
99 1.251e-02 26757.8
100 1.219e-02 27038.2
