Iteration Residual
0 1.000000e+00
1 1.317460e-01
2 3.024489e-02
3 9.831486e-03
4 5.149755e-03
5 3.439420e-03
6 2.183349e-03
7 8.519550e-04
8 4.610456e-04
9 3.470984e-04
10 1.856370e-04
11 6.842276e-05
12 3.494136e-05
13 2.362032e-05
14 1.249539e-05
15 5.335144e-06
16 2.919123e-06
17 1.628432e-06
18 7.906411e-07
