Iteration Residual
0 1.000000e+00
1 1.263305e-01
2 2.859085e-02
3 9.066062e-03
4 4.986746e-03
5 3.233716e-03
6 1.810267e-03
7 1.039577e-03
8 7.010143e-04
9 4.316180e-04
10 2.187403e-04
11 9.983933e-05
12 4.708149e-05
13 2.739442e-05
14 1.784486e-05
15 1.130346e-05
16 6.397893e-06
17 3.369897e-06
18 1.925473e-06
19 1.089187e-06
20 5.047102e-07
