Iter Residual
0 1.000e+00
1 9.728e-01
2 9.380e-01
3 8.921e-01
4 8.479e-01
5 8.146e-01
6 7.821e-01
7 7.496e-01
8 7.193e-01
9 6.844e-01
10 6.497e-01
11 6.195e-01
12 5.886e-01
13 5.586e-01
14 5.300e-01
15 5.036e-01
16 4.764e-01
17 4.499e-01
18 4.254e-01
19 4.042e-01
20 3.837e-01
21 3.620e-01
22 3.403e-01
23 3.204e-01
24 3.034e-01
25 2.939e-01
26 2.762e-01
27 2.602e-01
28 2.492e-01
29 2.342e-01
30 2.274e-01
31 2.114e-01
32 1.980e-01
33 1.855e-01
34 1.774e-01
35 1.685e-01
36 1.603e-01
37 1.509e-01
38 1.425e-01
39 1.353e-01
40 1.302e-01
41 1.236e-01
42 1.201e-01
43 1.135e-01
44 1.061e-01
45 1.037e-01
46 9.749e-02
47 9.363e-02
48 8.748e-02
49 8.501e-02
50 8.035e-02
51 7.425e-02
52 6.977e-02
53 6.742e-02
54 6.276e-02
55 6.107e-02
56 5.858e-02
57 5.575e-02
58 5.362e-02
59 5.206e-02
60 4.978e-02
61 4.779e-02
62 4.565e-02
63 4.394e-02
64 4.252e-02
65 4.119e-02
66 4.001e-02
67 3.904e-02
68 3.658e-02
69 3.552e-02
70 3.406e-02
71 3.361e-02
72 3.307e-02
73 3.240e-02
74 3.152e-02
75 3.067e-02
76 3.002e-02
77 2.912e-02
78 2.790e-02
79 2.748e-02
80 2.595e-02
81 2.535e-02
82 2.497e-02
83 2.418e-02
84 2.368e-02
85 2.298e-02
86 2.202e-02
87 2.118e-02
88 2.051e-02
89 2.003e-02
90 1.975e-02
91 1.934e-02
92 1.875e-02
93 1.836e-02
94 1.820e-02
95 1.783e-02
96 1.757e-02
97 1.711e-02
98 1.680e-02
99 1.663e-02
100 1.637e-02
