Iter Residual
0 1.000e+00
1 9.775e-01
2 9.440e-01
3 8.986e-01
4 8.530e-01
5 8.155e-01
6 7.802e-01
7 7.517e-01
8 7.195e-01
9 6.911e-01
10 6.629e-01
11 6.350e-01
12 6.029e-01
13 5.752e-01
14 5.454e-01
15 5.166e-01
16 4.889e-01
17 4.628e-01
18 4.375e-01
19 4.133e-01
20 3.911e-01
21 3.692e-01
22 3.525e-01
23 3.338e-01
24 3.149e-01
25 2.985e-01
26 2.873e-01
27 2.764e-01
28 2.685e-01
29 2.486e-01
30 2.328e-01
31 2.185e-01
32 2.051e-01
33 1.915e-01
34 1.856e-01
35 1.766e-01
36 1.670e-01
37 1.576e-01
38 1.486e-01
39 1.378e-01
40 1.275e-01
41 1.188e-01
42 1.109e-01
43 1.084e-01
44 1.022e-01
45 9.709e-02
46 9.248e-02
47 9.056e-02
48 8.740e-02
49 8.381e-02
50 8.028e-02
51 7.753e-02
52 7.433e-02
53 7.163e-02
54 7.029e-02
55 6.754e-02
56 6.423e-02
57 6.138e-02
58 5.951e-02
59 5.767e-02
60 5.636e-02
61 5.255e-02
62 5.224e-02
63 5.141e-02
64 4.921e-02
65 4.782e-02
66 4.473e-02
67 4.311e-02
68 4.027e-02
69 3.857e-02
70 3.796e-02
71 3.582e-02
72 3.467e-02
73 3.352e-02
74 3.249e-02
75 3.173e-02
76 3.075e-02
77 3.036e-02
78 2.861e-02
79 2.769e-02
80 2.679e-02
81 2.564e-02
82 2.542e-02
83 2.425e-02
84 2.344e-02
85 2.240e-02
86 2.208e-02
87 2.072e-02
88 2.040e-02
89 1.939e-02
90 1.894e-02
91 1.835e-02
92 1.790e-02
93 1.631e-02
94 1.605e-02
95 1.494e-02
96 1.455e-02
97 1.425e-02
98 1.336e-02
99 1.251e-02
100 1.219e-02
