Iter Residual Time
0 1.000e+00 0
1 9.775e-01 0.0
2 9.535e-01 273.4
3 9.109e-01 545.1
4 8.748e-01 816.2
5 8.323e-01 1088.6
6 7.926e-01 1361.8
7 7.579e-01 1634.1
8 7.266e-01 1904.6999999999998
9 6.914e-01 2177.0
10 6.593e-01 2446.6
11 6.292e-01 2719.7
12 6.020e-01 2988.4
13 5.710e-01 3260.3
14 5.433e-01 3532.1
15 5.167e-01 3806.6
16 4.935e-01 4079.8
17 4.702e-01 4348.8
18 4.443e-01 4622.8
19 4.197e-01 4891.3
20 3.952e-01 5163.5
21 3.714e-01 5437.6
22 3.511e-01 5710.0
23 3.314e-01 5979.4
24 3.119e-01 6249.8
25 2.949e-01 6516.8
26 2.800e-01 6783.1
27 2.690e-01 7053.5
28 2.540e-01 7318.0
29 2.359e-01 7589.6
30 2.246e-01 7859.9
31 2.090e-01 8126.299999999999
32 1.930e-01 8399.5
33 1.806e-01 8667.2
34 1.731e-01 8936.4
35 1.646e-01 9207.5
36 1.545e-01 9473.2
37 1.463e-01 9743.7
38 1.349e-01 10013.0
39 1.279e-01 10284.0
40 1.212e-01 10555.7
41 1.162e-01 10822.8
42 1.094e-01 11090.4
43 1.045e-01 11360.4
44 9.961e-02 11631.2
45 9.265e-02 11904.0
46 8.775e-02 12176.9
47 8.203e-02 12442.8
48 7.723e-02 12717.4
49 7.232e-02 12987.5
50 6.876e-02 13257.8
51 6.551e-02 13528.4
52 6.269e-02 13796.3
53 6.057e-02 14066.5
54 5.829e-02 14340.6
55 5.571e-02 14608.4
56 5.342e-02 14876.8
57 5.176e-02 15147.7
58 5.011e-02 15422.8
59 4.852e-02 15690.7
60 4.740e-02 15961.0
61 4.611e-02 16224.8
62 4.356e-02 16495.7
63 4.078e-02 16767.3
64 3.871e-02 17040.8
65 3.723e-02 17313.9
66 3.561e-02 17587.6
67 3.512e-02 17858.2
68 3.353e-02 18125.7
69 3.256e-02 18399.2
70 3.138e-02 18676.0
71 3.046e-02 18959.5
72 2.963e-02 19249.2
73 2.935e-02 19531.0
74 2.879e-02 19804.9
75 2.805e-02 20077.3
76 2.720e-02 20348.4
77 2.703e-02 20617.7
78 2.654e-02 20893.4
79 2.582e-02 21167.9
80 2.520e-02 21443.6
81 2.479e-02 21717.2
82 2.399e-02 21989.7
83 2.343e-02 22261.4
84 2.304e-02 22531.4
85 2.205e-02 22805.7
86 2.143e-02 23077.5
87 2.072e-02 23355.1
88 2.037e-02 23627.4
89 1.777e-02 23902.0
90 1.596e-02 24176.6
91 1.585e-02 24448.4
92 1.557e-02 24714.9
93 1.514e-02 24990.1
94 1.492e-02 25259.6
95 1.421e-02 25534.6
96 1.337e-02 25807.2
97 1.293e-02 26075.7
98 1.231e-02 26349.3
99 1.201e-02 26623.1
100 1.179e-02 26897.2
