Iteration Residual
0 4.501657e+02
1 5.930754e+01
2 1.361521e+01
3 4.425798e+00
4 2.318243e+00
5 1.548309e+00
6 9.828689e-01
7 3.835209e-01
8 2.075469e-01
9 1.562518e-01
10 8.356743e-02
11 3.080158e-02
12 1.572940e-02
13 1.063306e-02
14 5.624995e-03
15 2.401699e-03
16 1.314089e-03
17 7.330641e-04
18 3.559195e-04
