Iteration Residual
0 4.501657e+02
1 5.686967e+01
2 1.287062e+01
3 4.081230e+00
4 2.244862e+00
5 1.455708e+00
6 8.149202e-01
7 4.679817e-01
8 3.155726e-01
9 1.942996e-01
10 9.846936e-02
11 4.494424e-02
12 2.119447e-02
13 1.233203e-02
14 8.033144e-03
15 5.088428e-03
16 2.880112e-03
17 1.517012e-03
18 8.667817e-04
19 4.903147e-04
20 2.272032e-04
